ticker,sector
AADI,ENERGY
ACES,CONSUMER
ADHI,CONSTRUCTION
ADMF,FINANCIALS
ADMR,ENERGY
ADRO,ENERGY
AGII,INDUSTRIALS
AKRA,ENERGY
AMMN,MATERIALS
AMRT,CONSUMER
ANTM,MATERIALS
APII,PROPERTY
ARCI,MATERIALS
ASII,CONSUMER
ASRI,PROPERTY
ASSA,TRANSPORTATION
AUTO,AUTOMOTIVE
BABP,FINANCIALS
BBCA,FINANCIALS
BBHI,FINANCIALS
BBKP,FINANCIALS
BBLD,FINANCIALS
BBNI,FINANCIALS
BBRI,FINANCIALS
BBTN,FINANCIALS
BCAP,FINANCIALS
BCIC,FINANCIALS
BDMN,FINANCIALS
BEST,PROPERTY
BEBS,INDUSTRIALS
BFIN,FINANCIALS
BMAS,FINANCIALS
BMRI,FINANCIALS
BNGA,FINANCIALS
BNII,FINANCIALS
BNLI,FINANCIALS
BRAM,MATERIALS
BRIS,FINANCIALS
BRMS,MATERIALS
BRPT,MATERIALS
BSDE,PROPERTY
BUKA,TECHNOLOGY
BUKK,INDUSTRIALS
BULL,TRANSPORTATION
BYAN,ENERGY
CARE,HEALTHCARE
CASH,FINANCIALS
CBRE,PROPERTY
CBUT,CONSUMER
CCSI,TECHNOLOGY
CDIA,INFRASTRUCTURE
CEKA,CONSUMER
CENT,FINANCIALS
CGAS,ENERGY
CHEM,MATERIALS
CINT,MATERIALS
CMRY,CONSUMER
CNMA,CONSUMER
CPIN,CONSUMER
CTRA,PROPERTY
CUAN,MATERIALS
DADA,PROPERTY
DCII,TECHNOLOGY
DEWA,MATERIALS
DEWI,ENERGY
DMMX,TECHNOLOGY
DOID,ENERGY
DSSA,ENERGY
DUTI,PROPERTY
EAST,INFRASTRUCTURE
ECII,INDUSTRIALS
EDGE,TELECOMMUNICATIONS
ELSA,ENERGY
EMTK,TECHNOLOGY
ENRG,ENERGY
ERAA,CONSUMER
ESSA,ENERGY
EXCL,TELECOMMUNICATIONS
FAPA,CONSUMER
FAST,CONSUMER
FIRE,ENERGY
FISH,CONSUMER
FREN,TELECOMMUNICATIONS
GASP,INDUSTRIALS
GEMS,ENERGY
GGRM,CONSUMER
GIAA,TRANSPORTATION
GJTL,INDUSTRIALS
GOLD,MATERIALS
GPSO,TRANSPORTATION
HAIS,TRANSPORTATION
HEAL,HEALTHCARE
HMSP,CONSUMER
HOKI,CONSUMER
HRUM,ENERGY
IATA,TRANSPORTATION
IBST,TELECOMMUNICATIONS
ICBP,CONSUMER
IMAS,CONSUMER
IMJS,PROPERTY
INAF,HEALTHCARE
INCO,MATERIALS
INDF,CONSUMER
INDY,ENERGY
INKP,MATERIALS
INTP,MATERIALS
IPCM,TRANSPORTATION
IPOL,TECHNOLOGY
ISAT,TELECOMMUNICATIONS
ITMG,ENERGY
JSMR,INFRASTRUCTURE
KAEF,HEALTHCARE
KIJA,PROPERTY
KINO,CONSUMER
KLBF,HEALTHCARE
KOIN,FINANCIALS
KRYA,PROPERTY
LABA,CONSUMER
LIFE,HEALTHCARE
LINK,TELECOMMUNICATIONS
LPKR,PROPERTY
LPPF,CONSUMER
LPGI,FINANCIALS
LSIP,CONSUMER
MAPI,CONSUMER
MARK,INDUSTRIALS
MBMA,MATERIALS
MCAS,TECHNOLOGY
MDKA,MATERIALS
MEDC,ENERGY
MEGA,FINANCIALS
META,INFRASTRUCTURE
MIKA,HEALTHCARE
MLPL,PROPERTY
MMIX,CONSUMER
MNCN,MEDIA
MPMX,CONSUMER
MORA,FINANCIALS
MTEL,TELECOMMUNICATIONS
MDIY,CONSUMER
MYOR,CONSUMER
NCKL,MATERIALS
NISP,FINANCIALS
NRCA,CONSTRUCTION
PGAS,ENERGY
PGEO,ENERGY
PNBN,FINANCIALS
PNLF,FINANCIALS
PNSE,PROPERTY
POLU,CONSUMER
PSSI,INDUSTRIALS
PTBA,ENERGY
PTRO,ENERGY
PTPP,CONSTRUCTION
RAJA,ENERGY
RALS,CONSUMER
RMKE,TRANSPORTATION
SCMA,MEDIA
SDPC,HEALTHCARE
SIDO,HEALTHCARE
SILO,HEALTHCARE
SMGR,MATERIALS
SMRA,PROPERTY
SRTG,FINANCIALS
SSIA,PROPERTY
SSMS,CONSUMER
STAA,CONSUMER
STTP,CONSUMER
TAPG,CONSUMER
TCPI,CONSUMER
TEBE,MATERIALS
TLKM,TELECOMMUNICATIONS
TOWR,TELECOMMUNICATIONS
TPIA,MATERIALS
TRIS,INDUSTRIALS
UNTR,CONSUMER
UNVR,CONSUMER
WIFI,TELECOMMUNICATIONS
WIKA,CONSTRUCTION
WOOD,INDUSTRIALS
WSKT,CONSTRUCTION
XLAX,TELECOMMUNICATIONS
ZATA,PROPERTY
